version,releaseDate,bugFixes,newFeatures,breakingChanges
84.0.0,2024-8-29,0,0,4
83.1.0,2024-8-26,0,1,0
83.0.0,2024-8-26,0,1,1
82.0.0,2024-8-25,0,1,1
81.1.1,2024-8-25,1,0,0
81.1.0,2024-8-25,0,2,0
81.0.0,2024-8-25,0,0,2
80.5.0,2024-8-06,0,1,0
80.4.0,2024-8-02,0,1,0
80.3.0,2024-7-29,0,1,0
80.2.0,2024-7-10,0,1,0
80.1.1,2024-7-02,1,0,0
80.1.0,2024-7-02,0,1,0
80.0.0,2024-6-19,0,0,1
79.0.0,2024-6-18,0,1,2
78.0.0,2024-5-30,0,1,2
77.1.1,2024-5-28,1,0,0
77.1.0,2024-5-13,0,1,0
77.0.0,2024-5-08,0,1,1
76.2.0,2024-5-03,0,1,0
76.1.0,2024-5-03,0,1,0
76.0.0,2024-5-03,0,1,0
75.2.0,2024-5-03,0,1,0
75.1.1,2023-5-11,1,0,0
75.1.0,2023-4-23,0,1,0
75.0.0,2023-4-13,1,0,1
74.3.1,2023-4-13,1,0,0
74.3.0,2023-4-13,1,0,0
74.2.0,2023-4-12,0,1,0
74.1.1,2023-4-9,1,0,0
74.1.0,2023-4-9,0,1,0
74.0.0,2023-4-3,0,0,1
73.0.1,2023-4-2,1,0,0
73.0.0,2023-4-2,0,0,2
72.2.0,2023-3-31,0,1,0
72.1.0,2023-3-31,0,1,0
72.0.0,2023-3-31,0,1,2
71.0.2,2023-3-30,1,0,0
71.0.1,2023-3-30,1,0,0
71.0.0,2023-3-30,0,1,2
70.0.0,2023-3-28,0,0,1
69.4.1,2023-3-11,1,0,0
69.4.0,2023-3-11,0,1,0
69.3.1,2023-3-7,1,0,0
69.3.0,2023-3-3,0,1,0
69.2.1,2023-3-2,1,0,0
69.2.0,2023-3-2,0,1,0
69.1.0,2023-2-28,0,1,0
69.0.0,2023-2-23,0,0,1
68.0.0,2023-2-22,0,0,1
67.4.0,2023-2-19,0,1,0
67.3.0,2023-2-17,0,2,0
67.2.0,2023-2-12,0,1,0
67.1.0,2023-2-10,0,1,0
67.0.0,2023-2-9,0,0,1
66.1.0,2023-2-7,1,0,0
66.0.0,2023-2-7,0,0,2
65.4.0,2023-2-6,0,1,0
65.3.0,2023-2-6,0,1,0
65.2.0,2023-2-6,0,2,0
65.1.0,2023-2-4,0,1,0
65.0.2,2023-2-3,1,0,0
65.0.1,2023-2-3,1,0,0
65.0.0,2023-2-3,0,1,1
64.4.0,2023-2-1,0,4,0
64.3.0,2023-1-31,2,1,0
64.2.0,2023-1-31,0,2,0
64.1.0,2023-1-31,0,1,0
64.0.1,2023-1-30,1,0,0
64.0.0,2023-1-30,0,1,1
63.0.0,2023-1-26,0,0,4
62.2.0,2023-1-12,0,1,0
62.1.0,2023-1-12,0,1,0
62.0.0,2023-1-11,0,1,1
61.4.1,2023-1-8,1,0,0
61.4.0,2023-1-7,0,1,0
61.3.0,2023-1-7,2,1,0
61.2.0,2023-1-5,0,1,0
61.1.0,2023-1-5,0,1,0
61.0.1,2023-1-4,1,0,0
61.0.0,2023-1-4,0,1,1
60.0.0,2022-12-12,0,1,2
59.1.2,2022-12-10,1,0,0
59.1.1,2022-12-03,1,0,0
59.1.0,2022-12-02,0,1,0
59.0.0,2022-10-10,0,0,1
58.0.0,2022-10-10,1,0,1
57.0.0,2022-10-10,0,0,1
56.0.1,2022-09-26,1,0,0
56.0.0,2022-08-31,0,0,1
55.1.1,2022-08-18,1,0,0
55.1.0,2022-08-02,1,0,0
55.0.0,2022-08-02,0,1,7
54.2.1,2022-07-27,1,0,0
54.2.0,2022-07-27,0,1,0
54.1.0,2022-07-25,0,1,0
54.0.0,2022-07-24,0,3,0
53.7.1,2022-07-20,1,0,0
53.7.0,2022-07-20,0,1,0
53.6.0,2022-07-14,0,1,0
53.5.1,2022-07-12,1,0,0
53.5.0,2022-07-12,0,1,0
53.4.0,2022-07-12,0,1,0
53.3.0,2022-06-17,1,1,0
53.2.0,2022-06-15,1,1,1
53.1.0,2022-01-18,2,0,0
53.0.0,2021-07-27,1,2,9
52.1.0,2021-07-22,1,0,0
52.0.0,2021-07-22,0,2,5
51.7.0,2021-07-22,0,1,0
51.6.0,2021-06-25,0,1,1
51.5.1,2021-05-05,1,0,0
51.5.0,2021-03-26,0,1,0
